sgbrsflmvq;120pou0e5p;Spanish;15;77;3417
rdyqiiqqei;74vfsttf0r;Spanish;23;129;5846
malgcnncbl;3b56wqecdc;Spanish;13;75;3080
ewfddikghj;m2y1i4s7al;German;60;327;14208
dvbjiiqlvc;dbgr5uyj4e;German;22;108;4745
ykvdmaqnpb;cc9ceo79an;Turkish;43;235;9860
bnivrxypby;5ipzyh8ahr;German;36;197;8731
pdbtewvjrq;c91bdvd9h2;German;27;145;6198
unnsqchyjp;6mt3owdles;Italian;41;219;9255
wzestoqnlq;3u2gb9x0iz;Italian;74;403;17909
jlzvuatsuw;rdgtpk6iro;Italian;54;288;12200
eykfrzajbs;vlzwqaxeld;German;79;443;19641
hnzrlhwcwz;mcgzrpnxxg;Spanish;12;61;2637
wcjbwssiam;lxiyvohx0b;Spanish;42;229;9773
bkmbacjatg;4h8dhjf8in;German;89;497;21714
sofzhtfsiz;k1jsaavd1h;Italian;72;389;16055
jvmohtgkvc;xcf6mwvzy7;German;59;322;13878
micjdulrja;exa14lisf7;Turkish;50;275;11465
uvjutjhltt;0grcivxsk7;Italian;20;96;4308
nfalygsmwk;4m4u93qb6u;Turkish;63;353;14864
fxovkpvfhr;g5f03ak77e;Italian;82;444;18576
uhxuzacywl;p1nu0ajdk1;Turkish;70;392;16503
rnppgwhubc;0u6f4mynqj;Spanish;47;258;11083
iqaqbtwccl;a2r36t42wv;German;95;529;23038
bywxtxdetx;qd16o15449;Turkish;74;408;17172
piqvtmqqhw;2s36gxtk26;German;10;48;2130
fieymzbtaf;7iak3n7d67;Spanish;30;163;7140
oirkyisgst;tszt6afse8;Spanish;60;330;14409
puyrjtjlvg;d2wprrvt0u;Spanish;52;293;12999
irjtwhuccd;pyh5pfzhe5;Spanish;37;205;8884
ypxhdotvvu;ncbjv65n2o;Italian;25;128;5465
hcrsmvhurw;d5o1im5a38;German;14;57;2526
