sofzhtfsiz;k1jsaavd1h;Italian;34;180;7896
jvmohtgkvc;xcf6mwvzy7;Spanish;59;340;14609
micjdulrja;exa14lisf7;Turkish;66;395;17032
uvjutjhltt;0grcivxsk7;German;21;108;4461
nfalygsmwk;4m4u93qb6u;German;47;233;9820
fxovkpvfhr;g5f03ak77e;Turkish;71;430;18327
uhxuzacywl;p1nu0ajdk1;Spanish;36;192;8330
rnppgwhubc;0u6f4mynqj;Turkish;55;339;14414
iqaqbtwccl;a2r36t42wv;German;26;134;5658
bywxtxdetx;qd16o15449;German;36;186;7905
piqvtmqqhw;2s36gxtk26;Spanish;62;356;15080
fieymzbtaf;7iak3n7d67;Spanish;5;35;1630
oirkyisgst;tszt6afse8;German;5;26;1142
puyrjtjlvg;d2wprrvt0u;Italian;81;409;17837
irjtwhuccd;pyh5pfzhe5;Turkish;72;432;18618
ypxhdotvvu;ncbjv65n2o;Spanish;18;96;3919
hcrsmvhurw;d5o1im5a38;Spanish;34;178;7501
